pixel number,Galactic Longitude,Galactic Latitude,FIMS FUV (CU),GALEX FUV (CU),RASS xray band2,RASS xray band5,H-alpha,E(B-V),N(H I)
174,295,83.418,320.004,400.18,452.982,46.838,0.6863,0.027819,2.10E+20
175,305,83.418,360.544,393.139,439.824,65.939,0.6406,0.028587,2.21E+20
176,315,83.418,382.533,468.736,450.25,75.953,0.5081,0.039837,2.74E+20
177,325,83.418,407.807,526.421,380.657,61.505,0.4411,0.04259,3.00E+20
178,335,83.418,403.237,497.571,381.801,69.218,0.452,0.032563,2.64E+20
179,345,83.418,363.632,414.31,605.175,77.507,0.4287,0.018912,1.53E+20
180,355,83.418,314.991,320.736,633.9,66.635,0.4377,0.013336,1.20E+20
181,4.5,82.685,303.496,351.393,568.889,47.701,0.3828,0.014038,1.19E+20
182,13.5,82.685,301.43,293.616,652.351,73.844,0.4004,0.011875,1.12E+20
183,22.5,82.685,280.559,327.575,603.07,70.28,0.3779,0.013635,1.20E+20
184,31.5,82.685,271.219,360.807,554.852,63.952,0.445,0.015605,1.41E+20
185,40.5,82.685,293.636,355.305,498.182,58.718,0.3384,0.015498,1.58E+20
186,49.5,82.685,324.508,348.973,517.331,70.497,0.3199,0.015482,1.41E+20
187,58.5,82.685,329.338,332.892,491.284,60.989,0.2146,0.01322,1.28E+20
188,67.5,82.685,367.004,357.37,584.208,66.328,0.2494,0.010878,1.07E+20
189,76.5,82.685,347.493,338.772,607.606,65.091,0.3574,0.010181,1.01E+20
190,85.5,82.685,336.278,334.837,604.264,55.704,0.3348,0.011163,1.09E+20
191,94.5,82.685,323.552,333.665,635.207,65.338,0.3776,0.011514,1.15E+20
192,103.5,82.685,318.329,369.583,680.076,58.293,0.3706,0.011127,1.10E+20
193,112.5,82.685,330.397,364.272,586.907,55.569,0.3381,0.011062,1.17E+20
194,121.5,82.685,337.776,324.304,540.522,56.835,0.4806,0.013248,1.30E+20
195,130.5,82.685,335.895,341.344,552.232,58.315,0.4297,0.01526,1.39E+20
196,139.5,82.685,344.744,356.449,552.264,62.752,0.3543,0.016912,1.46E+20
197,148.5,82.685,336.921,427.191,528.366,62.841,0.4173,0.0174,1.63E+20
198,157.5,82.685,321.202,342.334,524.709,65.56,0.42,0.016131,1.54E+20
199,166.5,82.685,341.104,326.625,547.904,67.845,0.4254,0.017765,1.65E+20
200,175.5,82.685,348.231,337.96,528.808,53.689,0.417,0.019786,1.80E+20
201,184.5,82.685,372.949,373.919,500.277,62.869,0.469,0.018473,1.74E+20
202,193.5,82.685,409.045,423.135,458.43,63.147,0.4626,0.023638,2.15E+20
203,202.5,82.685,432.145,393.128,467.705,83.078,0.3303,0.02257,1.99E+20
204,211.5,82.685,450.875,408.847,493.649,50.207,0.3615,0.023292,1.94E+20
205,220.5,82.685,472.785,396.352,486.938,57.206,0.3955,0.027485,2.14E+20
206,229.5,82.685,409.268,368.615,531.142,65.977,0.2365,0.023936,1.96E+20
207,238.5,82.685,372.41,379.819,583.932,59.639,0.1921,0.021976,1.75E+20
208,247.5,82.685,354.078,412.817,574.901,60.555,0.3426,0.02171,1.57E+20
209,256.5,82.685,378.746,427.56,563.29,58.527,0.3782,0.020672,1.68E+20
210,265.5,82.685,408.648,417.344,477.661,53.334,0.4486,0.027423,2.31E+20
211,274.5,82.685,347.576,428.166,390.296,50.99,0.5037,0.031592,2.80E+20
212,283.5,82.685,321.07,402.762,436.645,59.475,0.5784,0.028225,2.44E+20
213,292.5,82.685,302.374,352.016,522.554,60.174,0.5523,0.021265,1.77E+20
214,301.5,82.685,328.148,382.441,526.418,58.636,0.6398,0.021592,1.62E+20
215,310.5,82.685,361.268,377.493,511.343,75.84,0.5467,0.021806,1.80E+20
216,319.5,82.685,375.212,403.333,518.227,71.202,0.4662,0.023856,2.09E+20
217,328.5,82.685,399.255,436.261,501.323,85.722,0.5029,0.026588,2.22E+20
218,337.5,82.685,394.411,490.798,429.896,77.057,0.453,0.031337,2.60E+20
219,346.5,82.685,381.426,435.297,517.912,77.063,0.4067,0.022528,1.85E+20
220,355.5,82.685,322.292,324.748,635.618,54.325,0.3885,0.014098,1.28E+20
221,4.091,81.953,301.974,377.857,578.069,73.54,0.4466,0.019303,1.38E+20
222,12.273,81.953,316.512,324.511,626.599,64.65,0.4523,0.0148,1.22E+20
223,20.455,81.953,276.677,351.828,660.675,48.773,0.4213,0.011389,1.06E+20
224,28.636,81.953,264.158,360.062,622.561,63.865,0.465,0.013419,1.15E+20
225,36.818,81.953,274.197,371.524,647.919,66.118,0.3259,0.011338,1.20E+20
226,45,81.953,305.465,337.413,585.952,68.681,0.3301,0.01335,1.36E+20
227,53.182,81.953,318.883,334.751,509.722,57.629,0.3431,0.014251,1.37E+20
228,61.364,81.953,337.895,370.948,526.753,66.583,0.2222,0.013189,1.26E+20
229,69.546,81.953,374.254,406.281,569.732,57.547,0.386,0.013759,1.19E+20
230,77.727,81.953,369.645,360.348,573.378,58.732,0.4617,0.012934,1.20E+20
231,85.909,81.953,338.393,320.167,574.107,63.932,0.4184,0.010879,1.11E+20
232,94.091,81.953,350.528,374.509,736.553,74.337,0.4106,0.01069,1.12E+20
233,102.273,81.953,353.997,431.213,670.371,72.284,0.4558,0.010214,1.07E+20
234,110.455,81.953,366.341,446.287,641.906,74.917,0.424,0.010753,1.15E+20
235,118.636,81.953,375.706,345.826,582.471,79.057,0.4741,0.014812,1.27E+20
236,126.818,81.953,367.54,361.721,563.268,60.102,0.5216,0.014746,1.37E+20
237,135,81.953,367.651,348.385,592.035,68.582,0.4174,0.015421,1.38E+20
238,143.182,81.953,355.255,319.779,597.192,63.819,0.3382,0.014617,1.45E+20
239,151.364,81.953,336.011,373.676,571.898,59.917,0.4395,0.017344,1.62E+20
240,159.546,81.953,316.615,340.706,541.344,64.604,0.4492,0.017309,1.70E+20
241,167.727,81.953,330.036,317.416,551.064,58.716,0.4016,0.018021,1.67E+20
242,175.909,81.953,330.708,316.946,507.911,48.249,0.3917,0.015817,1.71E+20
243,184.091,81.953,377.428,389.196,504.074,56.672,0.4657,0.017551,1.63E+20
244,192.273,81.953,395.27,376.31,513.574,58.908,0.4727,0.020378,1.76E+20
245,200.455,81.953,414.846,399.068,484.035,59.113,0.374,0.020929,1.83E+20
246,208.636,81.953,450.624,345.419,514.597,59.177,0.2529,0.021211,1.86E+20
247,216.818,81.953,433.973,379.163,526.981,73.232,0.3544,0.023631,1.88E+20
248,225,81.953,417.14,374.672,499.988,68.44,0.3121,0.025918,2.13E+20
249,233.182,81.953,383.59,356.68,520.711,62.227,0.1688,0.025807,2.06E+20
250,241.364,81.953,372.867,415.856,578.678,63.47,0.2345,0.022453,1.76E+20
251,249.546,81.953,349.362,417.012,568.39,59.347,0.3396,0.023765,1.82E+20
252,257.727,81.953,371.067,397.642,585.901,67.34,0.4524,0.021444,2.02E+20
253,265.909,81.953,396.08,527.617,371.329,64.431,0.4542,0.033314,2.77E+20
254,274.091,81.953,346.895,443.189,436.217,67.166,0.4568,0.030888,2.85E+20
255,282.273,81.953,316.782,396.491,509.759,60.441,0.5277,0.02604,2.28E+20
256,290.455,81.953,296.092,347.181,665.416,73.547,0.5049,0.01963,1.63E+20
257,298.636,81.953,317.809,368.885,619.551,78.159,0.5308,0.020305,1.45E+20
258,306.818,81.953,353.11,389.264,522.424,78.188,0.5891,0.021931,1.74E+20
259,315,81.953,366.734,431.653,516.999,60.793,0.5207,0.026823,2.21E+20
260,323.182,81.953,375.937,439.934,501.761,100.725,0.4842,0.026969,2.23E+20
261,331.364,81.953,401.871,432.56,503.188,73.276,0.5113,0.028765,2.10E+20
262,339.546,81.953,398.895,485.777,461.875,66.975,0.4165,0.029333,2.51E+20
263,347.727,81.953,422.534,514.86,496.433,62.271,0.4143,0.028355,2.28E+20
264,355.909,81.953,329.559,359.187,597.673,69.579,0.4011,0.017658,1.65E+20
265,3.75,81.22,306.748,396.758,542.328,61.172,0.4708,0.018256,1.48E+20
266,11.25,81.22,324.228,436.119,493.944,56.76,0.452,0.021298,1.52E+20
267,18.75,81.22,256.871,369.716,622.028,65.127,0.3635,0.011501,1.19E+20
268,26.25,81.22,256.19,330.812,642.416,62.352,0.4495,0.009606,9.87E+19
269,33.75,81.22,255.646,352.182,571.006,61.346,0.3866,0.010723,1.04E+20
270,41.25,81.22,281.018,348.661,571.469,64.476,0.3084,0.011998,1.26E+20
271,48.75,81.22,308.225,307.014,562.307,75.217,0.3262,0.011639,1.26E+20
272,56.25,81.22,322.954,344.456,548.331,64.161,0.3066,0.012594,1.20E+20
273,63.75,81.22,368.576,396.157,558.741,64.691,0.3033,0.012439,1.11E+20
274,71.25,81.22,398.841,471.595,547.583,76.078,0.492,0.016573,1.34E+20
275,78.75,81.22,376.273,383.438,607.414,105.649,0.4298,0.015678,1.32E+20
276,86.25,81.22,360.653,338.825,642.386,72.905,0.3594,0.011426,1.11E+20
277,93.75,81.22,386.806,389.026,710.622,76.04,0.3513,0.011058,1.08E+20
278,101.25,81.22,412.882,462.583,643.056,59.744,0.4323,0.010562,1.12E+20
279,108.75,81.22,430.762,488.374,636.952,78.691,0.5171,0.011491,1.18E+20
280,116.25,81.22,437.18,352.561,577.124,83.595,0.4962,0.014125,1.25E+20
281,123.75,81.22,425.702,387.301,511.946,67.423,0.4629,0.016467,1.48E+20
282,131.25,81.22,419.955,406.33,602.247,65.273,0.5299,0.014957,1.49E+20
283,138.75,81.22,424.085,334.333,643.481,64.514,0.3436,0.012728,1.27E+20
284,146.25,81.22,337.93,330.565,634.988,61.049,0.4271,0.013855,1.37E+20
285,153.75,81.22,334.184,363.377,553.325,78.29,0.4677,0.016585,1.53E+20
286,161.25,81.22,324.615,356.066,533.608,47.261,0.4457,0.014962,1.68E+20
287,168.75,81.22,324.283,319.262,585.386,60.467,0.4056,0.014565,1.36E+20
288,176.25,81.22,336.737,309.028,563.29,55.907,0.3866,0.013725,1.37E+20
289,183.75,81.22,337.038,360.767,507.644,57.623,0.4641,0.017374,1.55E+20
290,191.25,81.22,390.076,372.98,506.55,56.5,0.423,0.018873,1.55E+20
291,198.75,81.22,387.345,414.491,521.595,61.38,0.3985,0.019843,1.56E+20
292,206.25,81.22,461.603,336.283,541.36,58.068,0.3761,0.020865,1.81E+20
293,213.75,81.22,408.867,349.743,560.992,63.007,0.2645,0.020279,1.59E+20
294,221.25,81.22,382.76,352.907,500.852,55.869,0.3128,0.02264,1.84E+20
295,228.75,81.22,392.069,408.072,453.812,51.941,0.2786,0.028977,2.33E+20
296,236.25,81.22,386.214,404.208,487.055,57.041,0.1679,0.025168,2.21E+20
297,243.75,81.22,370.518,475.128,549.068,69.233,0.2994,0.028459,2.20E+20
298,251.25,81.22,351.137,405.637,560.004,72.919,0.3612,0.025175,2.20E+20
299,258.75,81.22,351.221,435.277,474.766,61.895,0.4512,0.030305,2.82E+20
300,266.25,81.22,354.946,475.072,405.656,66.653,0.4196,0.03413,3.07E+20
301,273.75,81.22,329.208,395.394,495.56,61.535,0.435,0.025998,2.60E+20
302,281.25,81.22,320.062,397.214,496.306,88.755,0.4776,0.026201,2.20E+20
303,288.75,81.22,289.09,349.256,668.158,86.713,0.5002,0.019785,1.50E+20
304,296.25,81.22,302.129,367.06,673.831,108.005,0.5084,0.01841,1.42E+20
305,303.75,81.22,341.217,420.32,560.011,88.921,0.6054,0.023893,1.86E+20
306,311.25,81.22,365.971,463.316,502.839,74.151,0.5797,0.029187,2.32E+20
307,318.75,81.22,370.552,433.174,510.206,58.632,0.4718,0.02658,2.36E+20
308,326.25,81.22,373.116,424.259,548.043,85.664,0.482,0.025764,2.02E+20
309,333.75,81.22,385.737,400.588,469.977,59.351,0.4277,0.025973,2.03E+20
310,341.25,81.22,359.652,416.855,501.093,87.117,0.4088,0.023074,2.15E+20
311,348.75,81.22,367.388,459.301,466.389,68.463,0.4054,0.025894,2.22E+20
312,356.25,81.22,335.387,423.239,576.685,81.918,0.4398,0.023126,1.92E+20
313,3.462,80.487,300.565,394.867,541.124,71.136,0.4881,0.018443,1.52E+20
314,10.385,80.487,283.302,423.434,544.49,57.008,0.4672,0.021558,1.53E+20
315,17.308,80.487,243.895,421.127,647.024,65.454,0.3207,0.014563,1.17E+20
316,24.231,80.487,248.114,325.312,617.223,59.027,0.4272,0.011136,1.03E+20
317,31.154,80.487,245.993,324.123,592.352,67.144,0.3679,0.009414,1.01E+20
318,38.077,80.487,281.247,335.051,621.15,72.236,0.2842,0.010763,1.12E+20
319,45,80.487,315.039,330.592,581.138,75.514,0.424,0.011879,1.33E+20
320,51.923,80.487,326.229,327.013,566.742,54.594,0.3019,0.012553,1.20E+20
321,58.846,80.487,347.867,355.394,574.292,66.79,0.2879,0.012687,1.10E+20
322,65.769,80.487,368.233,387.371,602.406,75.003,0.323,0.011505,1.04E+20
323,72.692,80.487,367.234,405.533,578,64.078,0.4444,0.011255,1.07E+20
324,79.615,80.487,362.953,375.346,582.973,69.293,0.3939,0.011762,1.18E+20
325,86.539,80.487,369.043,346.812,693.371,70.506,0.3458,0.010064,1.09E+20
